name,symbol,exchange,currency,price
케이뱅크,279570.KS,KOSPI,KRW,-
티엠씨,217590.KS,KOSPI,KRW,-
삼성에피스홀딩스,317450.KS,KOSPI,KRW,-
대한조선,439260.KS,KOSPI,KRW,-
대신밸류리츠,483650.KS,KOSPI,KRW,-
씨케이솔루션,480370.KS,KOSPI,KRW,-
서울보증보험,031210.KS,KOSPI,KRW,-
LG씨엔에스,064400.KS,KOSPI,KRW,-
GS피앤엘,499790.KS,KOSPI,KRW,-
엠앤씨솔루션,484870.KS,KOSPI,KRW,-
KB발해인프라,415640.KS,KOSPI,KRW,-
더본코리아,475560.KS,KOSPI,KRW,-
한화비전,489790.KS,KOSPI,KRW,-
전진건설로봇,079900.KS,KOSPI,KRW,-
HS효성,487570.KS,KOSPI,KRW,-
산일전기,062040.KS,KOSPI,KRW,-
시프트업,462870.KS,KOSPI,KRW,-
신한글로벌액티브리츠,481850.KS,KOSPI,KRW,-
파라다이스,034230.KS,KOSPI,KRW,-
HD현대마린솔루션,443060.KS,KOSPI,KRW,-
SK이터닉스,475150.KS,KOSPI,KRW,-
에이피알,278470.KS,KOSPI,KRW,-
엘앤에프,066970.KS,KOSPI,KRW,-
포스코DX,022100.KS,KOSPI,KRW,-
DS단석,017860.KS,KOSPI,KRW,-
동인기연,111380.KS,KOSPI,KRW,-
에코프로머티,450080.KS,KOSPI,KRW,-
두산로보틱스,454910.KS,KOSPI,KRW,-
STX그린로지스,465770.KS,KOSPI,KRW,-
넥스틸,092790.KS,KOSPI,KRW,-
NICE평가정보,030190.KS,KOSPI,KRW,-
조선내화,462520.KS,KOSPI,KRW,-
비에이치,090460.KS,KOSPI,KRW,-
동국씨엠,460850.KS,KOSPI,KRW,-
동국제강,460860.KS,KOSPI,KRW,-
이수스페셜티케미컬,457190.KS,KOSPI,KRW,-
OCI,456040.KS,KOSPI,KRW,-
SK오션플랜트,100090.KS,KOSPI,KRW,-
삼성FN리츠,448730.KS,KOSPI,KRW,-
현대그린푸드,453340.KS,KOSPI,KRW,-
한화갤러리아,452260.KS,KOSPI,KRW,-
한화리츠,451800.KS,KOSPI,KRW,-
바이오노트,377740.KS,KOSPI,KRW,-
유니드비티플러스,446070.KS,KOSPI,KRW,-
LX세미콘,108320.KS,KOSPI,KRW,-
KB스타리츠,432320.KS,KOSPI,KRW,-
쏘카,403550.KS,KOSPI,KRW,-
수산인더스트리,126720.KS,KOSPI,KRW,-
마스턴프리미어리츠,357430.KS,KOSPI,KRW,-
코람코더원리츠,417310.KS,KOSPI,KRW,-
LG에너지솔루션,373220.KS,KOSPI,KRW,-
신한서부티엔디리츠,404990.KS,KOSPI,KRW,-
미래에셋글로벌리츠,396690.KS,KOSPI,KRW,-
SK스퀘어,402340.KS,KOSPI,KRW,-
NH올원리츠,400760.KS,KOSPI,KRW,-
카카오페이,377300.KS,KOSPI,KRW,-
케이카,381970.KS,KOSPI,KRW,-
HD현대중공업,329180.KS,KOSPI,KRW,-
SK리츠,395400.KS,KOSPI,KRW,-
일진하이솔루스,271940.KS,KOSPI,KRW,-
디앤디플랫폼리츠,377190.KS,KOSPI,KRW,-
아주스틸,139990.KS,KOSPI,KRW,-
롯데렌탈,089860.KS,KOSPI,KRW,-
한컴라이프케어,372910.KS,KOSPI,KRW,-
크래프톤,259960.KS,KOSPI,KRW,-
PI첨단소재,178920.KS,KOSPI,KRW,-
카카오뱅크,323410.KS,KOSPI,KRW,-
에스디바이오센서,137310.KS,KOSPI,KRW,-
엠씨넥스,097520.KS,KOSPI,KRW,-
LX홀딩스,383800.KS,KOSPI,KRW,-
F&F,383220.KS,KOSPI,KRW,-
SK아이이테크놀로지,361610.KS,KOSPI,KRW,-
SK바이오사이언스,302440.KS,KOSPI,KRW,-
화승알앤에이,378850.KS,KOSPI,KRW,-
프레스티지바이오파마,950210.KS,KOSPI,KRW,-
솔루엠,248070.KS,KOSPI,KRW,-
DL이앤씨,375500.KS,KOSPI,KRW,-
ESR켄달스퀘어리츠,365550.KS,KOSPI,KRW,-
명신산업,009900.KS,KOSPI,KRW,-
에이플러스에셋,244920.KS,KOSPI,KRW,-
교촌에프앤비,339770.KS,KOSPI,KRW,-
